age,attrition,businesstravel,department,distancefromhome,education,educationfield,employeenumber,environmentsatisfaction,gender,jobinvolvement,joblevel,jobrole,jobsatisfaction,maritalstatus,numcompaniesworked,overtime,percentsalaryhike,performancerating,relationshipsatisfaction,standardhours,stockoptionlevel,totalworkingyears,trainingtimeslastyear,worklifebalance,yearsatcompany,yearssincelastpromotion,yearswithcurrmanager,salary,roledepartament,remotework,veterania
51,no,travel_rarely,,6.0,3,,1,1,Male,3,5,research director,3,married,7,no,13,"3,0",3,full time,0,11.318933823529411,5,3,20,15,15,195370.0,,yes,+ de 10 años
52,no,travel_rarely,,1.0,4,life sciences,2,3,Male,2,5,manager,3,married,0,no,14,"3,0",1,part time,1,34.0,5,3,33,11,9,199990.0,,yes,+ de 10 años
42,no,travel_rarely,research & development,4.0,2,technical degree,3,3,Male,3,5,manager,4,married,1,no,11,"3,0",4,part time,0,22.0,3,3,22,11,15,192320.0,manager  -  research & development,yes,+ de 10 años
47,no,travel_rarely,,2.0,4,medical,4,1,Female,3,4,research director,3,married,3,no,19,"3,0",2,full time,2,11.318933823529411,2,3,20,5,6,171690.0,,no,+ de 10 años
46,no,travel_rarely,,3.0,3,technical degree,5,1,Female,4,4,sales executive,1,divorced,2,no,12,"3,0",4,part time,1,11.318933823529411,5,3,19,2,8,65245.87531343283,,no,+ de 10 años
48,no,travel_rarely,research & development,22.0,3,medical,6,4,Female,3,4,manager,4,married,3,no,11,"3,0",2,part time,1,11.318933823529411,3,3,22,4,7,65245.87531343283,manager  -  research & development,yes,+ de 10 años
59,no,travel_rarely,,25.0,3,life sciences,7,1,Female,3,3,sales executive,1,married,7,no,11,"3,0",4,part time,0,28.0,3,2,21,7,9,100071.84,,no,+ de 10 años
42,no,travel_rarely,,1.0,1,,8,2,Male,3,2,sales executive,3,married,1,no,25,"4,0",3,part time,0,20.0,3,3,20,11,6,53914.11,,no,+ de 10 años
41,no,travel_rarely,,2.0,5,,9,2,Female,3,4,manager,1,married,7,no,16,"3,0",2,full time,1,22.0,2,3,18,11,8,165950.0,,no,+ de 10 años
41,no,travel_frequently,,9.0,3,,10,1,Male,3,5,research director,3,married,2,no,17,"3,0",2,part time,1,21.0,2,4,18,0,11,65245.87531343283,,no,+ de 10 años
